"pid","assessed_value"
1,647229.292416053
2,81168.7751544593
3,0
4,118138.692494133
5,284716.395909693
6,241362.524375892
7,92140.8018068012
8,179447.878140136
9,80708.6571061352
10,398713.981962961
11,217918.272336055
12,524009.008988612
13,325772.487341332
14,679354.115475778
15,85902.1006093593
16,261826.103676534
17,36629.4873450909
18,205713.562942278
19,0
20,137372.217142033
21,187323.717454198
22,0
23,71576.5088840282
24,0
25,102537.420318429
26,0
27,84832.5328191196
28,0
29,304953.854167983
30,265197.648919728
31,0
32,0
33,693274.964443951
34,190236.115969868
35,390351.22874004
36,239586.728739418
37,0
38,393520.265859795
39,566395.227457468
40,248161.71566435
41,313589.101191633
42,227650.064406205
43,136823.651229422
44,344099.630886762
45,243417.333486843
46,235372.913456095
47,296857.776869668
48,340413.691735099
49,0
50,244586.472762216
51,304005.828665949
52,113528.726822046
53,108543.006914302
54,516586.482745794
55,301236.073974462
56,73009.3109954964
57,0
58,163078.310875561
59,183609.177872629
60,138763.000639393
61,0
62,220955.847451403
63,0
64,406646.210569065
65,319540.765039848
66,0
67,189908.105097676
68,247063.194985251
69,466671.818607226
70,55520.6548539264
71,564097.759400802
72,326934.772030707
73,695715.430034621
74,319173.583886835
75,90525.2265888861
76,126891.048762219
77,219720.125857978
78,559970.222004527
79,239183.862523266
80,299808.018621275
81,133829.845590468
82,885283.549551298
83,455057.591816819
84,116522.669718461
85,600548.936253839
86,126591.054186452
87,76901.6171554888
88,0
89,242275.276401523
90,0
91,0
92,0
93,1225354.26434244
94,95029.8624434332
95,72294.803351181
96,123298.766188716
97,254821.459935403
98,219928.03253554
99,72946.0416409663
100,229915.498673474
101,320814.570540706
102,644433.846090473
103,325223.196191691
104,276084.530671574
105,168409.023713267
106,280858.49340808
107,31200.6436851925
108,121759.4560969
109,0
110,384692.65010442
111,109368.988158597
112,172596.322419083
113,374849.692605533
114,347412.293749988
115,409268.755062418
116,290854.752531056
117,193615.796085927
118,221909.740423449
119,240879.510343841
120,498041.874391279
121,803840.898494671
